Segment,Country, Product , Discount Band , Units Sold , Manufacturing Price , Sale Price , Gross Sales , Discounts ,  Sales , COGS , Profit ,Date,Month Number, Month Name ,Year
Enterprise,Canada, Montana , None ," $2,665.50 ", $5.00 , $125.00 ," $333,187.50 ", $-   ," $333,187.50 "," $319,860.00 "," $13,327.50 ",7/1/2014,7, July ,2014
Small Business,Mexico, Montana , None , $958.00 , $5.00 , $300.00 ," $287,400.00 ", $-   ," $287,400.00 "," $239,500.00 "," $47,900.00 ",8/1/2014,8, August ,2014
Government,Germany, Montana , None ," $2,146.00 ", $5.00 , $7.00 ," $15,022.00 ", $-   ," $15,022.00 "," $10,730.00 "," $4,292.00 ",9/1/2014,9, September ,2014
Enterprise,Canada, Montana , None , $345.00 , $5.00 , $125.00 ," $43,125.00 ", $-   ," $43,125.00 "," $41,400.00 "," $1,725.00 ",10/1/2013,10, October ,2013
Midmarket,United States of America, Montana , None , $615.00 , $5.00 , $15.00 ," $9,225.00 ", $-   ," $9,225.00 "," $6,150.00 "," $3,075.00 ",12/1/2014,12, December ,2014
Government,Canada, Paseo , None , $292.00 , $10.00 , $20.00 ," $5,840.00 ", $-   ," $5,840.00 "," $2,920.00 "," $2,920.00 ",2/1/2014,2, February ,2014
Midmarket,Mexico, Paseo , None , $974.00 , $10.00 , $15.00 ," $14,610.00 ", $-   ," $14,610.00 "," $9,740.00 "," $4,870.00 ",2/1/2014,2, February ,2014
Channel Partners,Canada, Paseo , None ," $2,518.00 ", $10.00 , $12.00 ," $30,216.00 ", $-   ," $30,216.00 "," $7,554.00 "," $22,662.00 ",6/1/2014,6, June ,2014
Government,Germany, Paseo , None ," $1,006.00 ", $10.00 , $350.00 ," $352,100.00 ", $-   ," $352,100.00 "," $261,560.00 "," $90,540.00 ",6/1/2014,6, June ,2014
Channel Partners,Germany, Paseo , None , $367.00 , $10.00 , $12.00 ," $4,404.00 ", $-   ," $4,404.00 "," $1,101.00 "," $3,303.00 ",7/1/2014,7, July ,2014
Government,Mexico, Paseo , None , $883.00 , $10.00 , $7.00 ," $6,181.00 ", $-   ," $6,181.00 "," $4,415.00 "," $1,766.00 ",8/1/2014,8, August ,2014
Midmarket,France, Paseo , None , $549.00 , $10.00 , $15.00 ," $8,235.00 ", $-   ," $8,235.00 "," $5,490.00 "," $2,745.00 ",9/1/2013,9, September ,2013
Small Business,Mexico, Paseo , None , $788.00 , $10.00 , $300.00 ," $236,400.00 ", $-   ," $236,400.00 "," $197,000.00 "," $39,400.00 ",9/1/2013,9, September ,2013
Midmarket,Mexico, Paseo , None ," $2,472.00 ", $10.00 , $15.00 ," $37,080.00 ", $-   ," $37,080.00 "," $24,720.00 "," $12,360.00 ",9/1/2014,9, September ,2014
Government,United States of America, Paseo , None ," $1,143.00 ", $10.00 , $7.00 ," $8,001.00 ", $-   ," $8,001.00 "," $5,715.00 "," $2,286.00 ",10/1/2014,10, October ,2014
Government,Canada, Paseo , None ," $1,725.00 ", $10.00 , $350.00 ," $603,750.00 ", $-   ," $603,750.00 "," $448,500.00 "," $155,250.00 ",11/1/2013,11, November ,2013
Channel Partners,United States of America, Paseo , None , $912.00 , $10.00 , $12.00 ," $10,944.00 ", $-   ," $10,944.00 "," $2,736.00 "," $8,208.00 ",11/1/2013,11, November ,2013
Midmarket,Canada, Paseo , None ," $2,152.00 ", $10.00 , $15.00 ," $32,280.00 ", $-   ," $32,280.00 "," $21,520.00 "," $10,760.00 ",12/1/2013,12, December ,2013
Government,Canada, Paseo , None ," $1,817.00 ", $10.00 , $20.00 ," $36,340.00 ", $-   ," $36,340.00 "," $18,170.00 "," $18,170.00 ",12/1/2014,12, December ,2014
Government,Germany, Paseo , None ," $1,513.00 ", $10.00 , $350.00 ," $529,550.00 ", $-   ," $529,550.00 "," $393,380.00 "," $136,170.00 ",12/1/2014,12, December ,2014
Government,Mexico, Velo , None ," $1,493.00 ", $120.00 , $7.00 ," $10,451.00 ", $-   ," $10,451.00 "," $7,465.00 "," $2,986.00 ",1/1/2014,1, January ,2014
Enterprise,France, Velo , None ," $1,804.00 ", $120.00 , $125.00 ," $225,500.00 ", $-   ," $225,500.00 "," $216,480.00 "," $9,020.00 ",2/1/2014,2, February ,2014
Channel Partners,Germany, Velo , None ," $2,161.00 ", $120.00 , $12.00 ," $25,932.00 ", $-   ," $25,932.00 "," $6,483.00 "," $19,449.00 ",3/1/2014,3, March ,2014
Government,Germany, Velo , None ," $1,006.00 ", $120.00 , $350.00 ," $352,100.00 ", $-   ," $352,100.00 "," $261,560.00 "," $90,540.00 ",6/1/2014,6, June ,2014
Channel Partners,Germany, Velo , None ," $1,545.00 ", $120.00 , $12.00 ," $18,540.00 ", $-   ," $18,540.00 "," $4,635.00 "," $13,905.00 ",6/1/2014,6, June ,2014
Enterprise,United States of America, Velo , None ," $2,821.00 ", $120.00 , $125.00 ," $352,625.00 ", $-   ," $352,625.00 "," $338,520.00 "," $14,105.00 ",8/1/2014,8, August ,2014
Enterprise,Canada, Velo , None , $345.00 , $120.00 , $125.00 ," $43,125.00 ", $-   ," $43,125.00 "," $41,400.00 "," $1,725.00 ",10/1/2013,10, October ,2013
Small Business,Canada, VTT , None ," $2,001.00 ", $250.00 , $300.00 ," $600,300.00 ", $-   ," $600,300.00 "," $500,250.00 "," $100,050.00 ",2/1/2014,2, February ,2014
Channel Partners,Germany, VTT , None ," $2,838.00 ", $250.00 , $12.00 ," $34,056.00 ", $-   ," $34,056.00 "," $8,514.00 "," $25,542.00 ",4/1/2014,4, April ,2014
Midmarket,France, VTT , None ," $2,178.00 ", $250.00 , $15.00 ," $32,670.00 ", $-   ," $32,670.00 "," $21,780.00 "," $10,890.00 ",6/1/2014,6, June ,2014
Midmarket,Germany, VTT , None , $888.00 , $250.00 , $15.00 ," $13,320.00 ", $-   ," $13,320.00 "," $8,880.00 "," $4,440.00 ",6/1/2014,6, June ,2014
Government,France, VTT , None ," $1,527.00 ", $250.00 , $350.00 ," $534,450.00 ", $-   ," $534,450.00 "," $397,020.00 "," $137,430.00 ",9/1/2013,9, September ,2013
Small Business,France, VTT , None ," $2,151.00 ", $250.00 , $300.00 ," $645,300.00 ", $-   ," $645,300.00 "," $537,750.00 "," $107,550.00 ",9/1/2014,9, September ,2014
Government,Canada, VTT , None ," $1,817.00 ", $250.00 , $20.00 ," $36,340.00 ", $-   ," $36,340.00 "," $18,170.00 "," $18,170.00 ",12/1/2014,12, December ,2014
Government,France, Amarilla , None ," $2,750.00 ", $260.00 , $350.00 ," $962,500.00 ", $-   ," $962,500.00 "," $715,000.00 "," $247,500.00 ",2/1/2014,2, February ,2014
Channel Partners,United States of America, Amarilla , None ," $1,953.00 ", $260.00 , $12.00 ," $23,436.00 ", $-   ," $23,436.00 "," $5,859.00 "," $17,577.00 ",4/1/2014,4, April ,2014
Enterprise,Germany, Amarilla , None ," $4,219.50 ", $260.00 , $125.00 ," $527,437.50 ", $-   ," $527,437.50 "," $506,340.00 "," $21,097.50 ",4/1/2014,4, April ,2014
Government,France, Amarilla , None ," $1,899.00 ", $260.00 , $20.00 ," $37,980.00 ", $-   ," $37,980.00 "," $18,990.00 "," $18,990.00 ",6/1/2014,6, June ,2014
Government,Germany, Amarilla , None ," $1,686.00 ", $260.00 , $7.00 ," $11,802.00 ", $-   ," $11,802.00 "," $8,430.00 "," $3,372.00 ",7/1/2014,7, July ,2014
Channel Partners,United States of America, Amarilla , None ," $2,141.00 ", $260.00 , $12.00 ," $25,692.00 ", $-   ," $25,692.00 "," $6,423.00 "," $19,269.00 ",8/1/2014,8, August ,2014
Government,United States of America, Amarilla , None ," $1,143.00 ", $260.00 , $7.00 ," $8,001.00 ", $-   ," $8,001.00 "," $5,715.00 "," $2,286.00 ",10/1/2014,10, October ,2014
Midmarket,United States of America, Amarilla , None , $615.00 , $260.00 , $15.00 ," $9,225.00 ", $-   ," $9,225.00 "," $6,150.00 "," $3,075.00 ",12/1/2014,12, December ,2014
Government,France, Paseo , Low ," $3,945.00 ", $10.00 , $7.00 ," $27,615.00 ", $276.15 ," $27,338.85 "," $19,725.00 "," $7,613.85 ",1/1/2014,1, January ,2014
Midmarket,France, Paseo , Low ," $2,296.00 ", $10.00 , $15.00 ," $34,440.00 ", $344.40 ," $34,095.60 "," $22,960.00 "," $11,135.60 ",2/1/2014,2, February ,2014
Government,France, Paseo , Low ," $1,030.00 ", $10.00 , $7.00 ," $7,210.00 ", $72.10 ," $7,137.90 "," $5,150.00 "," $1,987.90 ",5/1/2014,5, May ,2014
Government,France, Velo , Low , $639.00 , $120.00 , $7.00 ," $4,473.00 ", $44.73 ," $4,428.27 "," $3,195.00 "," $1,233.27 ",11/1/2014,11, November ,2014
Government,Canada, VTT , Low ," $1,326.00 ", $250.00 , $7.00 ," $9,282.00 ", $92.82 ," $9,189.18 "," $6,630.00 "," $2,559.18 ",3/1/2014,3, March ,2014
Channel Partners,United States of America, Carretera , Low ," $1,858.00 ", $3.00 , $12.00 ," $22,296.00 ", $222.96 ," $22,073.04 "," $5,574.00 "," $16,499.04 ",2/1/2014,2, February ,2014
Government,Mexico, Carretera , Low ," $1,210.00 ", $3.00 , $350.00 ," $423,500.00 "," $4,235.00 "," $419,265.00 "," $314,600.00 "," $104,665.00 ",3/1/2014,3, March ,2014
Government,United States of America, Carretera , Low ," $2,529.00 ", $3.00 , $7.00 ," $17,703.00 ", $177.03 ," $17,525.97 "," $12,645.00 "," $4,880.97 ",7/1/2014,7, July ,2014
Channel Partners,Canada, Carretera , Low ," $1,445.00 ", $3.00 , $12.00 ," $17,340.00 ", $173.40 ," $17,166.60 "," $4,335.00 "," $12,831.60 ",9/1/2014,9, September ,2014
Enterprise,United States of America, Carretera , Low , $330.00 , $3.00 , $125.00 ," $41,250.00 ", $412.50 ," $40,837.50 "," $39,600.00 "," $1,237.50 ",9/1/2013,9, September ,2013
Channel Partners,France, Carretera , Low ," $2,671.00 ", $3.00 , $12.00 ," $32,052.00 ", $320.52 ," $31,731.48 "," $8,013.00 "," $23,718.48 ",9/1/2014,9, September ,2014
Channel Partners,Germany, Carretera , Low , $766.00 , $3.00 , $12.00 ," $9,192.00 ", $91.92 ," $9,100.08 "," $2,298.00 "," $6,802.08 ",10/1/2013,10, October ,2013
Small Business,Mexico, Carretera , Low , $494.00 , $3.00 , $300.00 ," $148,200.00 "," $1,482.00 "," $146,718.00 "," $123,500.00 "," $23,218.00 ",10/1/2013,10, October ,2013
Government,Mexico, Carretera , Low ," $1,397.00 ", $3.00 , $350.00 ," $488,950.00 "," $4,889.50 "," $484,060.50 "," $363,220.00 "," $120,840.50 ",10/1/2014,10, October ,2014
Government,France, Carretera , Low ," $2,155.00 ", $3.00 , $350.00 ," $754,250.00 "," $7,542.50 "," $746,707.50 "," $560,300.00 "," $186,407.50 ",12/1/2014,12, December ,2014
Midmarket,Mexico, Montana , Low ," $2,214.00 ", $5.00 , $15.00 ," $33,210.00 ", $332.10 ," $32,877.90 "," $22,140.00 "," $10,737.90 ",3/1/2014,3, March ,2014
Small Business,United States of America, Montana , Low ," $2,301.00 ", $5.00 , $300.00 ," $690,300.00 "," $6,903.00 "," $683,397.00 "," $575,250.00 "," $108,147.00 ",4/1/2014,4, April ,2014
Government,France, Montana , Low ," $1,375.50 ", $5.00 , $20.00 ," $27,510.00 ", $275.10 ," $27,234.90 "," $13,755.00 "," $13,479.90 ",7/1/2014,7, July ,2014
Government,Canada, Montana , Low ," $1,830.00 ", $5.00 , $7.00 ," $12,810.00 ", $128.10 ," $12,681.90 "," $9,150.00 "," $3,531.90 ",8/1/2014,8, August ,2014
Small Business,United States of America, Montana , Low ," $2,498.00 ", $5.00 , $300.00 ," $749,400.00 "," $7,494.00 "," $741,906.00 "," $624,500.00 "," $117,406.00 ",9/1/2013,9, September ,2013
Enterprise,United States of America, Montana , Low , $663.00 , $5.00 , $125.00 ," $82,875.00 ", $828.75 ," $82,046.25 "," $79,560.00 "," $2,486.25 ",10/1/2013,10, October ,2013
Midmarket,United States of America, Paseo , Low ," $1,514.00 ", $10.00 , $15.00 ," $22,710.00 ", $227.10 ," $22,482.90 "," $15,140.00 "," $7,342.90 ",2/1/2014,2, February ,2014
Government,United States of America, Paseo , Low ," $4,492.50 ", $10.00 , $7.00 ," $31,447.50 ", $314.48 ," $31,133.03 "," $22,462.50 "," $8,670.53 ",4/1/2014,4, April ,2014
Enterprise,United States of America, Paseo , Low , $727.00 , $10.00 , $125.00 ," $90,875.00 ", $908.75 ," $89,966.25 "," $87,240.00 "," $2,726.25 ",6/1/2014,6, June ,2014
Enterprise,France, Paseo , Low , $787.00 , $10.00 , $125.00 ," $98,375.00 ", $983.75 ," $97,391.25 "," $94,440.00 "," $2,951.25 ",6/1/2014,6, June ,2014
Enterprise,Mexico, Paseo , Low ," $1,823.00 ", $10.00 , $125.00 ," $227,875.00 "," $2,278.75 "," $225,596.25 "," $218,760.00 "," $6,836.25 ",7/1/2014,7, July ,2014
Midmarket,Germany, Paseo , Low , $747.00 , $10.00 , $15.00 ," $11,205.00 ", $112.05 ," $11,092.95 "," $7,470.00 "," $3,622.95 ",9/1/2014,9, September ,2014
Channel Partners,Germany, Paseo , Low , $766.00 , $10.00 , $12.00 ," $9,192.00 ", $91.92 ," $9,100.08 "," $2,298.00 "," $6,802.08 ",10/1/2013,10, October ,2013
Small Business,United States of America, Paseo , Low ," $2,905.00 ", $10.00 , $300.00 ," $871,500.00 "," $8,715.00 "," $862,785.00 "," $726,250.00 "," $136,535.00 ",11/1/2014,11, November ,2014
Government,France, Paseo , Low ," $2,155.00 ", $10.00 , $350.00 ," $754,250.00 "," $7,542.50 "," $746,707.50 "," $560,300.00 "," $186,407.50 ",12/1/2014,12, December ,2014
Government,France, Velo , Low ," $3,864.00 ", $120.00 , $20.00 ," $77,280.00 ", $772.80 ," $76,507.20 "," $38,640.00 "," $37,867.20 ",4/1/2014,4, April ,2014
Government,Mexico, Velo , Low , $362.00 , $120.00 , $7.00 ," $2,534.00 ", $25.34 ," $2,508.66 "," $1,810.00 ", $698.66 ,5/1/2014,5, May ,2014
Enterprise,Canada, Velo , Low , $923.00 , $120.00 , $125.00 ," $115,375.00 "," $1,153.75 "," $114,221.25 "," $110,760.00 "," $3,461.25 ",8/1/2014,8, August ,2014
Enterprise,United States of America, Velo , Low , $663.00 , $120.00 , $125.00 ," $82,875.00 ", $828.75 ," $82,046.25 "," $79,560.00 "," $2,486.25 ",10/1/2013,10, October ,2013
Government,Canada, Velo , Low ," $2,092.00 ", $120.00 , $7.00 ," $14,644.00 ", $146.44 ," $14,497.56 "," $10,460.00 "," $4,037.56 ",11/1/2013,11, November ,2013
Government,Germany, VTT , Low , $263.00 , $250.00 , $7.00 ," $1,841.00 ", $18.41 ," $1,822.59 "," $1,315.00 ", $507.59 ,3/1/2014,3, March ,2014
Government,Canada, VTT , Low , $943.50 , $250.00 , $350.00 ," $330,225.00 "," $3,302.25 "," $326,922.75 "," $245,310.00 "," $81,612.75 ",4/1/2014,4, April ,2014
Enterprise,United States of America, VTT , Low , $727.00 , $250.00 , $125.00 ," $90,875.00 ", $908.75 ," $89,966.25 "," $87,240.00 "," $2,726.25 ",6/1/2014,6, June ,2014
Enterprise,France, VTT , Low , $787.00 , $250.00 , $125.00 ," $98,375.00 ", $983.75 ," $97,391.25 "," $94,440.00 "," $2,951.25 ",6/1/2014,6, June ,2014
Small Business,Germany, VTT , Low , $986.00 , $250.00 , $300.00 ," $295,800.00 "," $2,958.00 "," $292,842.00 "," $246,500.00 "," $46,342.00 ",9/1/2014,9, September ,2014
Small Business,Mexico, VTT , Low , $494.00 , $250.00 , $300.00 ," $148,200.00 "," $1,482.00 "," $146,718.00 "," $123,500.00 "," $23,218.00 ",10/1/2013,10, October ,2013
Government,Mexico, VTT , Low ," $1,397.00 ", $250.00 , $350.00 ," $488,950.00 "," $4,889.50 "," $484,060.50 "," $363,220.00 "," $120,840.50 ",10/1/2014,10, October ,2014
Enterprise,France, VTT , Low ," $1,744.00 ", $250.00 , $125.00 ," $218,000.00 "," $2,180.00 "," $215,820.00 "," $209,280.00 "," $6,540.00 ",11/1/2014,11, November ,2014
Channel Partners,United States of America, Amarilla , Low ," $1,989.00 ", $260.00 , $12.00 ," $23,868.00 ", $238.68 ," $23,629.32 "," $5,967.00 "," $17,662.32 ",9/1/2013,9, September ,2013
Midmarket,France, Amarilla , Low , $321.00 , $260.00 , $15.00 ," $4,815.00 ", $48.15 ," $4,766.85 "," $3,210.00 "," $1,556.85 ",11/1/2013,11, November ,2013
Enterprise,Canada, Carretera , Low , $742.50 , $3.00 , $125.00 ," $92,812.50 "," $1,856.25 "," $90,956.25 "," $89,100.00 "," $1,856.25 ",4/1/2014,4, April ,2014
Channel Partners,Canada, Carretera , Low ," $1,295.00 ", $3.00 , $12.00 ," $15,540.00 ", $310.80 ," $15,229.20 "," $3,885.00 "," $11,344.20 ",10/1/2014,10, October ,2014
Small Business,Germany, Carretera , Low , $214.00 , $3.00 , $300.00 ," $64,200.00 "," $1,284.00 "," $62,916.00 "," $53,500.00 "," $9,416.00 ",10/1/2013,10, October ,2013
Government,France, Carretera , Low ," $2,145.00 ", $3.00 , $7.00 ," $15,015.00 ", $300.30 ," $14,714.70 "," $10,725.00 "," $3,989.70 ",11/1/2013,11, November ,2013
Government,Canada, Carretera , Low ," $2,852.00 ", $3.00 , $350.00 ," $998,200.00 "," $19,964.00 "," $978,236.00 "," $741,520.00 "," $236,716.00 ",12/1/2014,12, December ,2014
Channel Partners,United States of America, Montana , Low ," $1,142.00 ", $5.00 , $12.00 ," $13,704.00 ", $274.08 ," $13,429.92 "," $3,426.00 "," $10,003.92 ",6/1/2014,6, June ,2014
Government,United States of America, Montana , Low ," $1,566.00 ", $5.00 , $20.00 ," $31,320.00 ", $626.40 ," $30,693.60 "," $15,660.00 "," $15,033.60 ",10/1/2014,10, October ,2014
Channel Partners,Mexico, Montana , Low , $690.00 , $5.00 , $12.00 ," $8,280.00 ", $165.60 ," $8,114.40 "," $2,070.00 "," $6,044.40 ",11/1/2014,11, November ,2014
Enterprise,Mexico, Montana , Low ," $1,660.00 ", $5.00 , $125.00 ," $207,500.00 "," $4,150.00 "," $203,350.00 "," $199,200.00 "," $4,150.00 ",11/1/2013,11, November ,2013
Midmarket,Canada, Paseo , Low ," $2,363.00 ", $10.00 , $15.00 ," $35,445.00 ", $708.90 ," $34,736.10 "," $23,630.00 "," $11,106.10 ",2/1/2014,2, February ,2014
Small Business,France, Paseo , Low , $918.00 , $10.00 , $300.00 ," $275,400.00 "," $5,508.00 "," $269,892.00 "," $229,500.00 "," $40,392.00 ",5/1/2014,5, May ,2014
Small Business,Germany, Paseo , Low ," $1,728.00 ", $10.00 , $300.00 ," $518,400.00 "," $10,368.00 "," $508,032.00 "," $432,000.00 "," $76,032.00 ",5/1/2014,5, May ,2014
Channel Partners,United States of America, Paseo , Low ," $1,142.00 ", $10.00 , $12.00 ," $13,704.00 ", $274.08 ," $13,429.92 "," $3,426.00 "," $10,003.92 ",6/1/2014,6, June ,2014
Enterprise,Mexico, Paseo , Low , $662.00 , $10.00 , $125.00 ," $82,750.00 "," $1,655.00 "," $81,095.00 "," $79,440.00 "," $1,655.00 ",6/1/2014,6, June ,2014
Channel Partners,Canada, Paseo , Low ," $1,295.00 ", $10.00 , $12.00 ," $15,540.00 ", $310.80 ," $15,229.20 "," $3,885.00 "," $11,344.20 ",10/1/2014,10, October ,2014
Enterprise,Germany, Paseo , Low , $809.00 , $10.00 , $125.00 ," $101,125.00 "," $2,022.50 "," $99,102.50 "," $97,080.00 "," $2,022.50 ",10/1/2013,10, October ,2013
Enterprise,Mexico, Paseo , Low ," $2,145.00 ", $10.00 , $125.00 ," $268,125.00 "," $5,362.50 "," $262,762.50 "," $257,400.00 "," $5,362.50 ",10/1/2013,10, October ,2013
Channel Partners,France, Paseo , Low ," $1,785.00 ", $10.00 , $12.00 ," $21,420.00 ", $428.40 ," $20,991.60 "," $5,355.00 "," $15,636.60 ",11/1/2013,11, November ,2013
Small Business,Canada, Paseo , Low ," $1,916.00 ", $10.00 , $300.00 ," $574,800.00 "," $11,496.00 "," $563,304.00 "," $479,000.00 "," $84,304.00 ",12/1/2014,12, December ,2014
Government,Canada, Paseo , Low ," $2,852.00 ", $10.00 , $350.00 ," $998,200.00 "," $19,964.00 "," $978,236.00 "," $741,520.00 "," $236,716.00 ",12/1/2014,12, December ,2014
Enterprise,Canada, Paseo , Low ," $2,729.00 ", $10.00 , $125.00 ," $341,125.00 "," $6,822.50 "," $334,302.50 "," $327,480.00 "," $6,822.50 ",12/1/2014,12, December ,2014
Midmarket,United States of America, Paseo , Low ," $1,925.00 ", $10.00 , $15.00 ," $28,875.00 ", $577.50 ," $28,297.50 "," $19,250.00 "," $9,047.50 ",12/1/2013,12, December ,2013
Government,United States of America, Paseo , Low ," $2,013.00 ", $10.00 , $7.00 ," $14,091.00 ", $281.82 ," $13,809.18 "," $10,065.00 "," $3,744.18 ",12/1/2013,12, December ,2013
Channel Partners,France, Paseo , Low ," $1,055.00 ", $10.00 , $12.00 ," $12,660.00 ", $253.20 ," $12,406.80 "," $3,165.00 "," $9,241.80 ",12/1/2014,12, December ,2014
Channel Partners,Mexico, Paseo , Low ," $1,084.00 ", $10.00 , $12.00 ," $13,008.00 ", $260.16 ," $12,747.84 "," $3,252.00 "," $9,495.84 ",12/1/2014,12, December ,2014
Government,United States of America, Velo , Low ," $1,566.00 ", $120.00 , $20.00 ," $31,320.00 ", $626.40 ," $30,693.60 "," $15,660.00 "," $15,033.60 ",10/1/2014,10, October ,2014
Government,Germany, Velo , Low ," $2,966.00 ", $120.00 , $350.00 ," $1,038,100.00 "," $20,762.00 "," $1,017,338.00 "," $771,160.00 "," $246,178.00 ",10/1/2013,10, October ,2013
Government,Germany, Velo , Low ," $2,877.00 ", $120.00 , $350.00 ," $1,006,950.00 "," $20,139.00 "," $986,811.00 "," $748,020.00 "," $238,791.00 ",10/1/2014,10, October ,2014
Enterprise,Germany, Velo , Low , $809.00 , $120.00 , $125.00 ," $101,125.00 "," $2,022.50 "," $99,102.50 "," $97,080.00 "," $2,022.50 ",10/1/2013,10, October ,2013
Enterprise,Mexico, Velo , Low ," $2,145.00 ", $120.00 , $125.00 ," $268,125.00 "," $5,362.50 "," $262,762.50 "," $257,400.00 "," $5,362.50 ",10/1/2013,10, October ,2013
Channel Partners,France, Velo , Low ," $1,055.00 ", $120.00 , $12.00 ," $12,660.00 ", $253.20 ," $12,406.80 "," $3,165.00 "," $9,241.80 ",12/1/2014,12, December ,2014
Government,Mexico, Velo , Low , $544.00 , $120.00 , $20.00 ," $10,880.00 ", $217.60 ," $10,662.40 "," $5,440.00 "," $5,222.40 ",12/1/2013,12, December ,2013
Channel Partners,Mexico, Velo , Low ," $1,084.00 ", $120.00 , $12.00 ," $13,008.00 ", $260.16 ," $12,747.84 "," $3,252.00 "," $9,495.84 ",12/1/2014,12, December ,2014
Enterprise,Mexico, VTT , Low , $662.00 , $250.00 , $125.00 ," $82,750.00 "," $1,655.00 "," $81,095.00 "," $79,440.00 "," $1,655.00 ",6/1/2014,6, June ,2014
Small Business,Germany, VTT , Low , $214.00 , $250.00 , $300.00 ," $64,200.00 "," $1,284.00 "," $62,916.00 "," $53,500.00 "," $9,416.00 ",10/1/2013,10, October ,2013
Government,Germany, VTT , Low ," $2,877.00 ", $250.00 , $350.00 ," $1,006,950.00 "," $20,139.00 "," $986,811.00 "," $748,020.00 "," $238,791.00 ",10/1/2014,10, October ,2014
Enterprise,Canada, VTT , Low ," $2,729.00 ", $250.00 , $125.00 ," $341,125.00 "," $6,822.50 "," $334,302.50 "," $327,480.00 "," $6,822.50 ",12/1/2014,12, December ,2014
Government,United States of America, VTT , Low , $266.00 , $250.00 , $350.00 ," $93,100.00 "," $1,862.00 "," $91,238.00 "," $69,160.00 "," $22,078.00 ",12/1/2013,12, December ,2013
Government,Mexico, VTT , Low ," $1,940.00 ", $250.00 , $350.00 ," $679,000.00 "," $13,580.00 "," $665,420.00 "," $504,400.00 "," $161,020.00 ",12/1/2013,12, December ,2013
Small Business,Germany, Amarilla , Low , $259.00 , $260.00 , $300.00 ," $77,700.00 "," $1,554.00 "," $76,146.00 "," $64,750.00 "," $11,396.00 ",3/1/2014,3, March ,2014
Small Business,Mexico, Amarilla , Low ," $1,101.00 ", $260.00 , $300.00 ," $330,300.00 "," $6,606.00 "," $323,694.00 "," $275,250.00 "," $48,444.00 ",3/1/2014,3, March ,2014
Enterprise,Germany, Amarilla , Low ," $2,276.00 ", $260.00 , $125.00 ," $284,500.00 "," $5,690.00 "," $278,810.00 "," $273,120.00 "," $5,690.00 ",5/1/2014,5, May ,2014
Government,Germany, Amarilla , Low ," $2,966.00 ", $260.00 , $350.00 ," $1,038,100.00 "," $20,762.00 "," $1,017,338.00 "," $771,160.00 "," $246,178.00 ",10/1/2013,10, October ,2013
Government,United States of America, Amarilla , Low ," $1,236.00 ", $260.00 , $20.00 ," $24,720.00 ", $494.40 ," $24,225.60 "," $12,360.00 "," $11,865.60 ",11/1/2014,11, November ,2014
Government,France, Amarilla , Low , $941.00 , $260.00 , $20.00 ," $18,820.00 ", $376.40 ," $18,443.60 "," $9,410.00 "," $9,033.60 ",11/1/2014,11, November ,2014
Small Business,Canada, Amarilla , Low ," $1,916.00 ", $260.00 , $300.00 ," $574,800.00 "," $11,496.00 "," $563,304.00 "," $479,000.00 "," $84,304.00 ",12/1/2014,12, December ,2014
